grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time1
20,45,18,0,3.6666666666666665,35.57
20,41,36,1,4.5,24.32
20,57,24,0,1.0,27.41
20,53,30,0,1.7777777777777777,34.33
20,44,22,1,2.0,23.5
50,60,18,0,1.2,5.86
20,52,18,1,3.0,19.86
50,17,22,1,1.2222222222222223,5.33
20,20,26,1,3.1666666666666665,33.12
50,18,16,0,3.6666666666666665,7.74
50,26,16,0,1.7142857142857142,5.73
20,48,24,1,2.0,19.79
20,10,36,1,3.8461538461538463,51.29
20,45,22,0,2.0,31.61
50,16,36,0,2.4,7.4
20,28,34,1,1.2142857142857142,23.91
50,25,24,0,1.6666666666666667,5.11
20,35,24,1,4.375,25.92
20,54,32,1,3.333333333333333,17.79
80,10,18,1,2.0,3.19
80,12,14,1,1.25,3.49
20,40,14,0,1.4705882352941178,43.68
50,23,34,0,1.6,5.24
20,52,22,1,1.7272727272727273,25.21
50,14,24,1,2.2857142857142856,5.57
50,11,36,1,2.6666666666666665,6.02
20,21,20,1,2.9285714285714284,35.5
20,60,36,1,1.1,20.14
50,27,14,0,2.0,6.02
50,40,14,0,2.8,4.96
20,48,28,1,1.7,21.89
20,54,16,0,1.5384615384615383,33.25
20,18,20,1,3.8461538461538463,40.11
20,49,30,1,1.2727272727272727,21.52
20,45,26,0,3.8571428571428568,30.54
50,51,22,0,1.2,4.18
50,30,36,0,1.2,5.3
20,54,20,1,3.375,23.32
20,22,18,1,2.7333333333333334,38.19
20,22,36,1,2.4545454545454546,27.51
20,28,36,0,1.3076923076923077,38.74
50,24,14,0,2.2857142857142856,7.44
20,48,26,1,1.25,19.65
50,30,16,1,1.25,4.69
20,29,32,1,1.1333333333333333,27.61
20,13,28,1,1.8421052631578947,44.72
20,48,30,0,1.6,29.4
20,26,36,1,1.6666666666666667,28.22
20,18,36,0,2.0769230769230766,54.76
20,54,22,1,3.8571428571428568,19.15
20,10,30,1,2.05,56.22
20,30,22,0,1.375,40.7
20,42,28,1,2.875,21.19
20,30,28,1,4.125,27.68
50,48,30,0,1.0,6.81
50,18,20,0,1.625,6.43
20,26,20,1,3.1666666666666665,31.87
20,21,16,0,2.411764705882353,64.61
50,22,24,1,1.125,4.39
80,36,14,0,1.0,2.48
20,20,24,0,3.4166666666666665,54.64
50,12,30,0,4.4,8.66
50,16,34,0,1.8333333333333333,7.77
80,22,24,1,1.0,3.83
20,50,24,0,1.3333333333333333,28.27
20,23,36,1,1.6153846153846154,26.63
20,11,28,1,2.647058823529412,49.05
20,40,18,0,3.3,35.63
50,34,16,1,2.4,5.2
20,22,30,0,4.5555555555555545,50.45
20,32,32,1,4.428571428571429,24.32
50,46,14,0,1.1428571428571428,4.74
50,36,36,1,1.0,4.05
50,45,24,0,1.2,8.04
20,37,34,0,1.0769230769230769,33.71
20,30,16,1,3.4166666666666665,31.27
50,27,24,0,1.1428571428571428,5.14
20,15,18,0,2.7777777777777777,79.8
50,22,24,0,1.125,6.93
20,54,32,0,3.333333333333333,30.54
20,54,20,1,2.7777777777777777,19.74
20,15,22,0,2.8125,72.97
20,52,36,1,1.2,18.67
20,15,22,0,1.5,70.87
20,22,28,1,1.2941176470588236,30.86
50,14,16,0,1.1666666666666667,9.8
50,15,26,1,2.5,5.97
20,46,20,0,1.75,34.33
50,15,36,1,1.8333333333333333,4.56
20,39,14,1,3.4545454545454546,28.12
20,21,20,1,2.1875,36.95
20,14,32,1,1.8235294117647056,40.36
20,12,34,0,2.9285714285714284,82.67
20,36,32,0,1.1538461538461535,35.96
20,40,28,1,1.0714285714285714,20.96
50,13,16,1,3.571428571428572,5.96
20,18,22,1,2.7333333333333334,41.3
20,55,36,0,1.0,29.52
20,50,34,0,1.4,26.79
50,12,22,1,4.166666666666667,9.72
50,39,24,1,1.4,5.39
20,20,20,1,4.166666666666667,38.84
20,44,36,0,3.6666666666666665,36.11
20,44,36,1,1.5,26.35
20,44,30,1,2.2222222222222223,19.78
20,45,32,1,1.3636363636363635,20.77
20,23,36,0,2.7,44.77
20,16,28,0,2.333333333333333,64.16
50,16,30,0,3.2,6.46
50,15,32,1,3.2,6.37
20,35,24,0,4.375,36.44
20,39,16,1,2.583333333333333,25.42
20,28,26,0,1.1176470588235294,58.41
20,30,36,0,1.2307692307692308,37.03
50,42,30,0,1.0,5.28
20,55,18,1,2.0,22.74
20,55,24,0,2.75,27.68
20,56,30,1,5.0,24.42
20,36,22,0,1.3333333333333333,35.94
50,31,14,1,2.333333333333333,4.45
20,49,24,1,2.0,23.9
20,58,14,0,1.0,34.97
50,39,18,1,1.0,3.97
20,35,36,1,1.0769230769230769,23.56
50,60,24,1,1.0,4.04
80,18,20,1,1.6,3.51
20,50,14,1,1.7857142857142858,24.13
50,16,30,1,2.0,4.56
20,30,36,1,3.375,24.29
50,22,18,0,1.2222222222222223,6.68
50,35,30,0,1.2,6.12
50,38,34,1,1.0,4.01
20,48,18,1,1.5384615384615383,20.89
20,33,24,0,1.3333333333333333,36.69
20,27,16,0,1.7222222222222223,52.9
80,18,20,1,1.0,3.53
50,34,14,0,2.8,5.73
50,16,36,1,2.4,6.11
20,11,16,0,2.8181818181818183,115.77
20,34,18,0,4.5555555555555545,40.48
50,20,14,0,5.0,7.98
20,51,22,0,4.142857142857143,29.52
50,12,14,0,1.1428571428571428,11.43
20,30,36,0,1.5,39.66
20,22,26,1,5.0,32.62
50,33,14,0,1.0,6.33
20,33,20,1,3.0,26.48
50,36,30,0,1.2,6.28
20,13,36,0,2.9230769230769242,98.27
50,12,36,0,3.2,7.67
50,46,18,1,1.6,3.75
20,30,16,1,2.2,31.31
50,44,18,0,1.8,4.29
50,28,30,1,1.1666666666666667,4.27
20,57,26,0,2.375,26.33
20,25,18,1,4.545454545454546,32.35
20,35,34,0,1.0,36.89
50,30,20,1,2.6,3.83
20,41,28,0,1.4166666666666667,30.88
20,55,20,1,2.7777777777777777,19.1
20,24,28,1,3.5,31.3
50,35,24,1,1.1666666666666667,4.49
50,18,22,0,3.6,7.33
20,58,30,1,2.125,19.07
50,26,22,0,1.2857142857142858,5.1
20,16,20,1,1.24,43.46
20,39,16,1,4.5555555555555545,25.43
80,23,16,0,1.4,3.2
50,18,22,0,2.6666666666666665,6.35
50,12,16,0,3.125,10.82
20,52,24,0,1.25,30.94
20,46,34,1,3.0,19.91
20,25,32,0,1.3333333333333333,44.82
50,32,30,0,1.6,5.11
20,49,16,1,4.375,23.53
20,24,22,1,3.727272727272727,32.05
80,25,14,0,1.6,3.01
20,56,18,1,4.428571428571429,21.33
20,20,14,1,1.4,46.42
20,45,16,0,1.25,35.71
20,17,36,0,4.5555555555555545,65.64
50,27,26,0,2.2,4.9
20,16,22,1,1.4090909090909092,42.47
20,60,20,0,3.125,28.02
20,55,30,1,3.6666666666666665,20.77
20,31,36,0,3.375,38.96
20,47,14,0,3.5,36.69
20,21,28,1,1.3529411764705883,32.68
20,36,30,0,3.375,35.59
20,25,34,1,1.4285714285714286,28.73
20,40,20,1,3.1,23.03
50,12,14,0,2.7777777777777777,10.19
20,53,20,0,2.7777777777777777,29.55
20,40,18,0,2.25,36.41
20,19,20,0,1.04,75.6
20,39,22,0,1.8333333333333333,32.91
20,26,20,0,1.3157894736842106,47.58
20,60,32,0,3.333333333333333,38.8
20,55,16,0,1.8333333333333333,30.65
20,20,20,0,1.0,58.91
50,28,26,0,1.0,6.14
