grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,n_hours,time_tot
50,11,18,0,1.6363636363636365,114,872.5799999999998
20,37,34,1,1.0769230769230769,96,1548.58
20,34,28,0,5.0,25,817.99
20,10,36,0,4.583333333333333,102,9312.91
20,28,14,1,2.0588235294117645,47,1505.82
20,50,18,0,2.272727272727273,109,2795.620000000001
50,10,16,1,1.6666666666666667,105,632.1600000000002
20,42,32,0,1.7,78,2028.63
20,39,16,1,1.0526315789473684,91,2060.75
20,57,26,1,1.0833333333333333,118,1582.34
20,20,36,0,1.9230769230769231,40,1806.83
20,33,32,0,1.8181818181818181,34,1043.04
20,52,16,0,3.4444444444444446,130,3597.62
50,12,20,1,1.0833333333333333,66,302.17
50,54,22,1,1.2,35,69.76
20,33,28,0,2.0,89,2743.99
50,31,32,1,1.0,99,283.5800000000001
20,28,18,0,3.727272727272727,19,801.0600000000002
20,32,30,1,3.875,71,1397.05
20,42,30,1,2.875,104,1586.26
20,52,14,0,4.75,59,1804.04
50,15,26,1,1.8571428571428568,69,234.54
20,27,32,0,3.4444444444444446,10,382.13000000000005
20,53,36,0,1.4444444444444444,66,1440.09
20,33,36,1,1.1538461538461535,88,1990.63
20,60,36,0,1.625,116,2368.52
80,15,32,0,1.2,64,115.11
20,60,32,0,5.0,33,708.23
20,52,28,1,1.8888888888888888,121,1658.29
20,57,36,0,1.4444444444444444,89,2350.81
50,21,28,1,1.2857142857142858,88,286.96
80,10,18,1,2.1666666666666665,131,221.44
80,21,14,1,1.6,102,136.98000000000002
20,25,36,1,2.272727272727273,115,2417.95
20,45,26,0,1.7272727272727273,132,3359.01
50,54,14,0,1.0,53,195.63
100,10,30,1,1.2,136,133.45
20,51,24,1,1.0769230769230769,49,700.81
20,31,34,1,1.1428571428571428,101,1800.2000000000005
50,35,32,0,1.2,111,349.17
20,21,16,1,2.411764705882353,45,1642.32
80,27,14,1,1.2,111,139.12
50,12,18,0,3.571428571428572,9,68.46
50,58,20,1,1.2,29,56.83
20,56,34,0,2.4285714285714284,83,1700.0000000000002
50,10,18,1,1.2307692307692308,106,568.31
20,18,36,1,2.0769230769230766,132,3573.51
50,40,18,1,2.0,110,255.2
20,57,18,1,3.375,84,1213.84
50,26,20,0,3.0,91,350.78
20,24,36,0,1.2,118,4653.88
20,18,32,1,4.1,95,2884.39
50,40,16,0,2.4,18,61.03
20,18,26,0,2.923076923076924,121,6443.87
20,13,28,0,2.235294117647059,2,147.12
20,15,16,1,1.064516129032258,58,3026.2499999999995
100,10,18,1,2.0,45,50.92000000000001
20,34,24,0,2.9,118,3803.4
20,36,32,1,1.1538461538461535,47,798.57
50,17,24,0,3.2,60,300.68
50,38,36,0,1.0,124,399.25
20,29,28,0,4.375,77,2764.27
50,26,30,0,1.1666666666666667,105,402.85
20,46,30,0,1.6,124,2987.09
50,35,30,0,1.2,134,413.1
50,30,18,0,1.8333333333333333,36,133.06
20,43,16,1,2.8181818181818183,136,2718.85
20,10,20,1,3.1,3,181.85
50,23,28,0,1.1428571428571428,138,556.18
50,15,22,0,1.4444444444444444,56,308.68999999999994
20,43,34,0,1.2727272727272727,32,789.54
80,14,30,1,1.2,91,119.28
