x_length,y_length,grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time2
46000,14400,50,48,28,1,1.3333333333333333,7.47
46000,14400,20,60,24,1,3.5,66.75
10000,10000,20,24,36,0,3.4444444444444446,40.59
30000,12000,50,28,26,1,2.875,6.09
46000,14400,100,32,20,1,1.2222222222222223,2.1
23200,18000,20,37,20,1,2.4166666666666665,73.16
46000,14400,20,47,34,0,4.466666666666667,149.18
46000,14400,80,55,22,0,1.25,3.08
23200,18000,50,45,36,1,1.0,4.88
23200,18000,80,20,22,0,1.181818181818182,4.44
30000,12000,50,10,36,0,1.0,21.49
7200,24000,20,24,26,1,1.08,40.71
30000,12000,50,57,18,1,3.6666666666666665,4.53
30000,12000,50,48,34,0,1.7142857142857142,6.49
23200,18000,100,55,28,1,1.0,1.06
23200,18000,100,20,24,1,3.0,1.8
10000,10000,20,30,34,1,1.1428571428571428,19.17
46000,14400,20,48,22,1,1.46875,88.5
30000,12000,20,41,30,0,1.8,86.7
46000,14400,100,56,18,0,1.5,2.04
46000,14400,80,60,22,1,1.4285714285714286,2.09
46000,14400,80,48,22,1,3.4,2.38
10000,10000,20,53,14,0,3.888888888888889,31.36
46000,14400,50,46,16,1,1.1111111111111112,9.51
7200,24000,50,13,36,1,4.0,5.47
7200,24000,20,50,18,1,1.875,25.85
23200,18000,50,60,20,0,2.7142857142857144,7.19
46000,14400,80,55,36,0,1.8,3.17
46000,14400,100,54,22,1,2.0,1.49
7200,24000,50,36,36,0,1.8,4.43
7200,24000,50,22,24,0,4.8,6.86
46000,14400,100,57,16,1,1.2857142857142858,1.86
23200,18000,100,21,24,1,2.0,1.73
30000,12000,80,10,18,1,3.1,4.53
30000,12000,80,30,22,1,2.0,2.08
30000,12000,80,40,36,1,1.0,1.76
10000,10000,50,30,16,0,1.25,4.03
7200,24000,20,12,30,1,1.7307692307692308,71.83
7200,24000,20,12,22,1,1.25,83.81
7200,24000,50,25,30,1,2.333333333333333,3.65
7200,24000,20,50,26,1,1.0,24.66
23200,18000,20,20,36,1,2.32,100.41
23200,18000,50,22,20,1,1.1666666666666667,9.03
7200,24000,20,20,26,0,1.5652173913043481,84.66
7200,24000,20,39,20,0,1.6666666666666667,48.59
7200,24000,80,39,16,0,1.0,2.74
23200,18000,20,25,26,1,4.9444444444444455,94.17
10000,10000,50,21,36,0,1.0,4.44
23200,18000,80,37,26,0,1.8333333333333333,2.91
46000,14400,100,10,34,1,3.8571428571428568,3.35
7200,24000,20,30,22,1,1.6,35.64
7200,24000,100,16,30,1,1.0,1.0
23200,18000,20,55,36,0,2.0,94.13
23200,18000,50,29,30,1,5.0,6.83
23200,18000,20,54,28,1,1.5238095238095235,48.16
23200,18000,20,51,32,0,1.8888888888888888,80.29
46000,14400,50,15,24,1,2.875,17.04
30000,12000,50,21,18,0,3.0,14.22
7200,24000,50,51,22,0,1.1428571428571428,3.71
10000,10000,20,57,34,0,1.4444444444444444,20.62
10000,10000,50,10,14,1,2.8,6.26
7200,24000,20,54,20,1,1.5,23.95
7200,24000,80,28,18,0,2.0,1.91
7200,24000,50,24,24,1,4.8,3.92
10000,10000,50,10,18,0,2.2,8.38
46000,14400,50,32,36,0,1.5833333333333333,14.3
23200,18000,80,26,28,0,1.25,3.65
30000,12000,50,60,28,0,3.4,6.1
10000,10000,20,32,30,1,3.875,19.61
10000,10000,50,26,16,0,2.5,4.64
23200,18000,100,48,22,0,1.4,1.49
30000,12000,80,14,36,0,2.142857142857143,4.77
30000,12000,80,20,34,0,1.5714285714285714,3.61
10000,10000,20,41,22,0,1.8333333333333333,28.49
30000,12000,20,45,22,0,2.7777777777777777,87.34
23200,18000,50,19,20,1,1.2777777777777777,10.29
7200,24000,20,34,22,1,1.8823529411764703,32.16
10000,10000,50,50,18,0,1.6,2.76
30000,12000,80,10,24,1,2.7777777777777777,4.0
23200,18000,20,32,30,1,1.2,70.23
10000,10000,20,20,18,0,1.08,59.26
30000,12000,20,15,16,1,4.166666666666667,189.29
10000,10000,50,34,30,1,1.2,2.21
10000,10000,20,40,30,1,3.125,15.9
30000,12000,50,33,28,0,2.25,8.71
46000,14400,50,14,20,0,2.3,33.84
10000,10000,80,23,24,1,1.0,1.15
10000,10000,20,58,18,1,3.375,14.66
46000,14400,100,15,32,0,3.8333333333333335,4.28
23200,18000,100,33,28,1,1.1666666666666667,1.42
23200,18000,20,48,18,1,4.5,64.11
46000,14400,20,24,36,0,4.75,275.55
10000,10000,20,39,34,1,4.833333333333333,16.4
30000,12000,80,48,28,0,1.0,2.2
46000,14400,100,32,24,0,1.0,2.57
10000,10000,50,30,32,1,1.6,2.21
10000,10000,20,34,24,0,2.9,32.19
7200,24000,50,22,30,0,1.625,6.11
10000,10000,20,25,14,0,3.571428571428572,60.51
30000,12000,20,39,22,1,4.533333333333333,58.88
10000,10000,20,15,28,0,1.0869565217391304,63.75
23200,18000,80,33,26,0,1.0,3.21
30000,12000,80,13,22,1,1.0769230769230769,3.62
7200,24000,20,42,18,1,4.636363636363637,31.39
10000,10000,50,40,24,1,1.0,2.26
7200,24000,80,22,20,0,1.5,2.1
46000,14400,80,14,34,1,1.3333333333333333,4.58
23200,18000,100,20,26,1,1.8333333333333333,1.71
30000,12000,50,28,30,0,2.625,9.57
10000,10000,20,38,24,1,1.5384615384615383,17.99
23200,18000,100,15,14,0,1.25,4.08
10000,10000,50,21,14,0,1.5555555555555556,5.61
10000,10000,20,38,36,1,4.333333333333333,15.8
7200,24000,20,40,18,1,3.4615384615384617,32.37
30000,12000,20,40,14,0,3.571428571428572,136.07
23200,18000,20,55,32,0,1.181818181818182,79.41
10000,10000,20,10,36,0,1.08,89.29
46000,14400,20,37,32,0,3.736842105263158,174.68
10000,10000,20,30,20,0,4.1,37.99
46000,14400,50,31,26,1,2.636363636363636,9.63
10000,10000,20,13,14,0,1.0857142857142856,113.98
30000,12000,100,10,28,1,3.5,2.15
7200,24000,20,57,24,1,1.125,21.86
10000,10000,50,36,14,0,1.125,4.07
23200,18000,50,20,36,1,1.5833333333333333,8.7
10000,10000,80,18,28,0,1.0,1.53
30000,12000,50,10,18,1,1.1538461538461535,16.86
46000,14400,100,52,36,0,1.2,2.96
46000,14400,100,55,18,1,1.6666666666666667,1.57
23200,18000,50,56,30,1,1.8571428571428568,4.82
23200,18000,50,14,30,1,1.3529411764705883,10.86
46000,14400,20,24,30,1,1.1333333333333333,156.65
10000,10000,100,19,18,1,1.0,1.04
10000,10000,50,20,30,0,2.6,4.29
7200,24000,50,38,34,0,1.0,4.35
46000,14400,50,49,30,1,2.625,6.77
30000,12000,20,23,28,0,2.0384615384615383,152.21
23200,18000,20,57,18,1,1.826086956521739,53.33
7200,24000,20,42,26,0,1.9285714285714288,43.61
10000,10000,50,24,20,1,3.2,2.8
30000,12000,80,14,18,0,4.428571428571429,5.52
46000,14400,20,56,36,1,1.6363636363636365,65.12
10000,10000,80,23,24,1,1.0,1.11
10000,10000,100,10,16,0,1.6666666666666667,1.53
23200,18000,80,31,32,0,1.2857142857142858,3.4
30000,12000,80,15,16,1,2.3,3.74
7200,24000,20,48,20,1,1.1,26.46
30000,12000,20,33,32,1,2.5,56.79
46000,14400,80,44,24,1,1.8571428571428568,2.45
7200,24000,50,11,30,1,1.0,6.2
30000,12000,80,31,26,1,2.4,2.01
30000,12000,80,13,22,0,4.666666666666667,5.49
30000,12000,20,35,32,1,2.7058823529411766,54.2
46000,14400,80,34,18,0,1.6,4.64
7200,24000,20,46,16,0,3.4615384615384617,49.67
7200,24000,50,16,30,0,4.0,7.9
7200,24000,20,56,30,0,3.75,33.53
46000,14400,20,37,26,0,2.2962962962962963,184.73
46000,14400,20,40,18,0,3.9583333333333335,198.08
46000,14400,50,17,36,0,1.5625,24.08
46000,14400,20,54,18,0,4.25,150.57
30000,12000,50,27,34,0,2.125,9.5
7200,24000,20,21,26,1,3.4,45.72
23200,18000,80,19,36,1,2.5,2.67
30000,12000,50,41,34,1,2.0,4.39
46000,14400,80,19,20,0,3.111111111111111,7.03
23200,18000,50,27,24,1,2.5,6.98
7200,24000,50,60,32,1,1.4,2.2
10000,10000,50,30,24,0,2.0,3.4
30000,12000,20,30,24,1,1.3666666666666667,69.67
7200,24000,50,43,24,0,2.4,3.84
23200,18000,50,24,20,0,2.727272727272727,13.51
10000,10000,20,19,20,0,1.04,58.93
30000,12000,50,51,28,0,2.0,6.66
30000,12000,20,29,24,0,2.04,128.12
10000,10000,50,10,30,1,1.3,4.23
7200,24000,50,60,18,1,1.0,2.56
7200,24000,50,10,28,1,1.6666666666666667,6.63
46000,14400,50,27,14,1,1.7,15.35
46000,14400,100,50,16,1,1.0,1.95
46000,14400,20,51,26,0,2.761904761904762,133.36
46000,14400,20,20,30,1,1.1875,179.71
30000,12000,50,29,36,1,3.333333333333333,5.45
23200,18000,50,54,36,1,2.0,4.21
30000,12000,20,56,24,1,1.04,41.98
23200,18000,20,40,20,1,1.0,69.63
10000,10000,20,35,24,1,1.9166666666666667,18.82
30000,12000,50,34,16,0,1.1333333333333333,10.48
46000,14400,80,43,20,1,1.4444444444444444,2.71
46000,14400,80,15,16,0,2.9166666666666665,9.61
