x_length,y_length,grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,n_hours,time_tot
23200,18000,80,43,34,1,1.6,124,214.12
30000,12000,20,50,34,0,1.7647058823529411,96,6917.6
7200,24000,50,39,20,0,1.0,100,474.81000000000006
30000,12000,20,48,30,0,1.0,61,4598.03
23200,18000,50,21,28,0,4.125,26,367.68
23200,18000,80,36,20,0,1.7142857142857142,116,348.91
23200,18000,80,39,18,0,1.375,1,6.23
23200,18000,20,18,22,0,4.2,55,13370.62
30000,12000,80,29,14,0,1.2,102,394.72
10000,10000,20,47,22,1,2.2,101,1587.26
10000,10000,20,23,22,0,4.5,57,2659.34
30000,12000,20,42,22,0,2.9444444444444446,92,8604.14
30000,12000,100,34,20,1,1.0,128,171.46
23200,18000,80,36,20,1,1.0,121,274.95
30000,12000,20,22,36,1,1.0303030303030305,28,2272.3
23200,18000,100,12,30,1,1.3333333333333333,97,214.36
30000,12000,20,10,22,1,4.533333333333333,28,6295.88
46000,14400,100,14,28,0,1.6,56,254.07
30000,12000,50,21,20,1,1.3125,18,156.30999999999997
46000,14400,50,15,32,0,3.8333333333333335,24,653.98
10000,10000,20,30,18,1,2.5384615384615383,85,2136.27
46000,14400,20,39,24,0,1.1,15,2775.37
46000,14400,20,30,36,0,1.7,21,4529.48
30000,12000,20,25,16,0,2.5,13,2456.08
46000,14400,50,29,24,1,4.2222222222222205,106,1180.84
7200,24000,20,14,24,0,2.8571428571428568,52,6463.28
30000,12000,80,12,36,0,4.6,56,321.32
10000,10000,20,35,36,0,1.0769230769230769,44,1324.4399999999996
23200,18000,80,11,36,1,4.333333333333333,126,483.88
46000,14400,80,37,36,0,3.0,43,168.53
46000,14400,50,27,18,1,2.125,111,1338.8
30000,12000,80,42,24,1,1.0,116,208.21
30000,12000,80,36,22,1,1.0,49,96.21
30000,12000,20,54,26,0,5.0,56,4057.88
10000,10000,80,10,24,1,1.6666666666666667,83,125.43
23200,18000,20,48,34,0,2.117647058823529,26,2374.75
23200,18000,20,59,32,0,2.4,50,3714.57
10000,10000,20,48,26,0,2.2222222222222223,1,31.28
30000,12000,50,32,20,0,1.5,81,777.16
30000,12000,20,54,16,1,3.875,70,3989.16
30000,12000,20,20,20,1,1.6216216216216215,25,2884.2200000000007
10000,10000,20,57,30,1,1.181818181818182,34,451.5
7200,24000,20,42,26,0,2.3076923076923075,115,4962.3499999999985
7200,24000,20,15,24,1,3.0,127,7984.409999999999
23200,18000,80,42,26,1,2.2,37,84.74000000000002
46000,14400,100,48,14,0,1.1111111111111112,88,225.18
10000,10000,20,25,24,1,1.0,18,461.06
10000,10000,50,10,30,1,1.3,118,500.27
10000,10000,20,34,24,0,3.4444444444444446,109,3482.3
30000,12000,50,31,18,0,4.714285714285714,23,248.28000000000003
30000,12000,50,39,18,1,1.1538461538461535,6,38.53
46000,14400,80,55,24,0,2.8,4,15.01
46000,14400,50,51,28,1,4.5,39,267.36
46000,14400,20,38,20,1,1.5405405405405406,17,1977.86
7200,24000,50,27,30,1,1.125,9,34.69
7200,24000,50,50,36,0,1.4,45,188.44
23200,18000,50,39,16,1,5.0,42,306.17
30000,12000,80,46,30,1,1.0,50,85.51999999999998
30000,12000,80,10,22,0,4.857142857142857,31,217.44
30000,12000,50,60,20,0,1.3333333333333333,37,237.24
46000,14400,80,44,16,1,2.125,44,133.54000000000002
7200,24000,20,22,24,1,4.615384615384615,14,643.01
23200,18000,80,36,28,0,2.4,93,293.76
10000,10000,20,45,18,1,3.6666666666666665,18,329.26
23200,18000,20,24,22,0,1.2,103,19683.06
23200,18000,100,14,24,1,1.0,69,145.64
30000,12000,20,30,14,0,2.3666666666666667,105,18924.28
30000,12000,50,12,22,1,1.1904761904761905,104,1309.15
23200,18000,100,20,16,0,1.0,28,85.19000000000003
10000,10000,20,35,20,0,3.5,95,3170.09
30000,12000,20,60,34,1,4.4,134,4803.200000000002
23200,18000,20,48,18,1,4.5,79,5081.73
30000,12000,100,14,20,0,3.5,8,25.31
23200,18000,50,60,32,1,1.0,124,574.73
23200,18000,80,18,22,1,1.0833333333333333,111,366.43
46000,14400,50,48,28,1,2.333333333333333,139,945.28
10000,10000,20,49,18,0,2.7,41,1115.14
7200,24000,20,30,16,0,1.0,94,7126.68
30000,12000,50,12,18,1,1.65,89,1280.03
10000,10000,50,30,20,1,1.0,63,172.37
46000,14400,50,28,24,1,2.6666666666666665,3,37.77
7200,24000,50,42,18,1,1.25,101,309.53
30000,12000,50,51,28,0,2.0,100,669.6800000000002
46000,14400,20,49,36,1,4.5,95,7937.950000000002
23200,18000,50,44,34,1,1.0,50,250.5
46000,14400,80,50,16,0,1.5555555555555556,48,194.07
46000,14400,100,38,30,0,1.0,18,49.89
46000,14400,20,37,22,1,1.9375,7,833.8
7200,24000,80,15,20,0,2.5,54,144.01999999999995
30000,12000,50,15,24,0,1.5625,139,2260.74
10000,10000,50,13,14,0,4.0,80,672.04
23200,18000,80,25,22,1,1.1,62,171.66000000000003
7200,24000,100,16,14,0,1.4285714285714286,139,256.28000000000003
30000,12000,50,30,28,0,2.5,130,1197.76
30000,12000,50,25,22,1,2.4,135,950.3
30000,12000,100,48,16,1,1.8,78,98.58
10000,10000,20,51,18,0,1.2857142857142858,62,1718.89
7200,24000,20,25,16,0,4.8,64,5758.329999999999
46000,14400,80,49,24,1,1.25,106,252.88
10000,10000,80,10,16,0,2.5,5,14.17
30000,12000,20,53,26,0,1.2173913043478262,137,9860.46
7200,24000,80,30,24,0,1.0,113,313.09
46000,14400,100,40,18,1,1.0,97,188.23
7200,24000,50,14,30,1,2.5,22,112.4
23200,18000,50,42,20,1,5.0,84,496.19
46000,14400,80,35,24,1,3.333333333333333,44,120.58
23200,18000,80,19,28,0,4.0,103,460.1
7200,24000,20,26,22,0,1.391304347826087,56,3842.92
10000,10000,20,56,30,0,2.8571428571428568,65,1412.67
30000,12000,100,21,36,0,1.6,119,255.7
30000,12000,50,42,30,0,1.625,52,404.88
10000,10000,20,49,24,1,2.0,8,127.43
10000,10000,50,30,16,0,2.1666666666666665,71,289.57
7200,24000,20,35,34,0,1.2352941176470589,24,1161.12
10000,10000,50,12,22,0,2.25,11,75.42999999999998
10000,10000,80,18,16,0,1.1666666666666667,46,87.21000000000002
10000,10000,50,36,26,0,1.4,34,105.84
46000,14400,80,10,36,0,1.2666666666666666,125,1339.96
10000,10000,20,59,36,0,1.625,18,383.4
23200,18000,100,33,24,1,1.0,109,151.3
10000,10000,50,23,24,1,1.0,5,16.44
7200,24000,80,28,30,1,1.2,88,202.36
10000,10000,20,39,18,0,1.0555555555555556,8,274.97
23200,18000,20,15,30,0,1.7777777777777777,48,12578.47
10000,10000,50,22,22,1,1.0,5,17.77
7200,24000,20,30,20,1,5.0,106,4023.76
23200,18000,80,32,14,1,2.25,114,314.18
30000,12000,100,19,16,0,3.0,17,50.13
10000,10000,20,59,18,0,3.375,103,2473.31
7200,24000,50,29,36,1,1.0,51,162.41
10000,10000,50,11,14,1,3.111111111111111,123,713.51
10000,10000,50,12,30,0,4.0,59,389.5
10000,10000,20,35,34,1,4.142857142857143,75,1316.1899999999996
10000,10000,20,59,16,1,3.875,137,2265.85
30000,12000,50,30,28,0,4.166666666666667,40,378.62
23200,18000,20,24,22,0,1.2,20,3835.87
30000,12000,20,45,32,0,1.55,95,7519.04
10000,10000,20,48,28,1,2.5,69,978.03
10000,10000,20,56,22,0,1.5454545454545454,112,2499.3
46000,14400,50,25,20,1,2.5714285714285716,27,339.26
7200,24000,80,18,30,0,2.0,45,103.55
30000,12000,50,42,36,1,2.333333333333333,113,518.34
46000,14400,80,50,18,0,1.3333333333333333,11,43.42999999999999
