x_length,y_length,grid_step,ni,nj,n_nodes,n_cores,n_procs,dx,dy,nx,ny,subdomain_ratio,single_precision,physics_on,estimated_duration
10000,10000,20,500,500,10,14,140,50,35,10,14,1.4285714285714286,0,1,275.1171795394335
10000,10000,20,500,500,10,14,140,50,35,10,14,1.4285714285714286,1,1,192.58202567760344
10000,10000,20,500,500,10,14,140,71,25,7,20,2.84,0,1,275.1171795394335
10000,10000,20,500,500,10,14,140,71,25,7,20,2.84,1,1,192.58202567760344
10000,10000,20,500,500,10,16,160,50,31,10,16,1.6129032258064515,0,1,240.72753209700434
10000,10000,20,500,500,10,16,160,50,31,10,16,1.6129032258064515,1,1,168.50927246790303
10000,10000,20,500,500,10,16,160,62,25,8,20,2.48,0,1,240.72753209700434
10000,10000,20,500,500,10,16,160,62,25,8,20,2.48,1,1,168.50927246790303
10000,10000,20,500,500,10,18,180,41,33,12,15,1.2424242424242424,0,1,213.9800285306705
10000,10000,20,500,500,10,18,180,41,33,12,15,1.2424242424242424,1,1,149.78601997146933
10000,10000,20,500,500,10,18,180,50,27,10,18,1.8518518518518519,0,1,213.9800285306705
10000,10000,20,500,500,10,18,180,50,27,10,18,1.8518518518518519,1,1,149.78601997146933
10000,10000,20,500,500,10,18,180,55,25,9,20,2.2,0,1,213.9800285306705
10000,10000,20,500,500,10,18,180,55,25,9,20,2.2,1,1,149.78601997146933
10000,10000,20,500,500,10,20,200,50,25,10,20,2.0,0,1,192.58202567760347
10000,10000,20,500,500,10,20,200,50,25,10,20,2.0,1,1,134.80741797432242
10000,10000,20,500,500,10,20,200,62,20,8,25,3.1,0,1,192.58202567760347
10000,10000,20,500,500,10,20,200,62,20,8,25,3.1,1,1,134.80741797432242
10000,10000,20,500,500,10,22,220,45,25,11,20,1.8,0,1,175.0745687978213
10000,10000,20,500,500,10,22,220,45,25,11,20,1.8,1,1,122.55219815847491
10000,10000,20,500,500,10,22,220,50,22,10,22,2.272727272727273,0,1,175.0745687978213
10000,10000,20,500,500,10,22,220,50,22,10,22,2.272727272727273,1,1,122.55219815847491
10000,10000,20,500,500,10,24,240,33,31,15,16,1.064516129032258,0,1,160.48502139800289
10000,10000,20,500,500,10,24,240,33,31,15,16,1.064516129032258,1,1,112.33951497860201
10000,10000,20,500,500,10,24,240,41,25,12,20,1.64,0,1,160.48502139800289
10000,10000,20,500,500,10,24,240,41,25,12,20,1.64,1,1,112.33951497860201
10000,10000,20,500,500,10,24,240,50,20,10,24,2.5,0,1,160.48502139800289
10000,10000,20,500,500,10,24,240,50,20,10,24,2.5,1,1,112.33951497860201
10000,10000,20,500,500,10,24,240,62,16,8,30,3.875,0,1,160.48502139800289
10000,10000,20,500,500,10,24,240,62,16,8,30,3.875,1,1,112.33951497860201
10000,10000,20,500,500,10,26,260,38,25,13,20,1.52,0,1,148.14001975200267
10000,10000,20,500,500,10,26,260,38,25,13,20,1.52,1,1,103.69801382640186
10000,10000,20,500,500,10,26,260,50,19,10,26,2.6315789473684212,0,1,148.14001975200267
10000,10000,20,500,500,10,26,260,50,19,10,26,2.6315789473684212,1,1,103.69801382640186
10000,10000,20,500,500,10,28,280,35,25,14,20,1.4,0,1,137.55858976971675
10000,10000,20,500,500,10,28,280,35,25,14,20,1.4,1,1,96.29101283880172
10000,10000,20,500,500,10,28,280,50,17,10,28,2.9411764705882355,0,1,137.55858976971675
10000,10000,20,500,500,10,28,280,50,17,10,28,2.9411764705882355,1,1,96.29101283880172
10000,10000,20,500,500,10,28,280,62,14,8,35,4.428571428571429,0,1,137.55858976971675
10000,10000,20,500,500,10,28,280,62,14,8,35,4.428571428571429,1,1,96.29101283880172
10000,10000,20,500,500,10,30,300,33,25,15,20,1.32,0,1,128.3880171184023
10000,10000,20,500,500,10,30,300,33,25,15,20,1.32,1,1,89.8716119828816
10000,10000,20,500,500,10,30,300,41,20,12,25,2.05,0,1,128.3880171184023
10000,10000,20,500,500,10,30,300,41,20,12,25,2.05,1,1,89.8716119828816
10000,10000,20,500,500,10,30,300,50,16,10,30,3.125,0,1,128.3880171184023
10000,10000,20,500,500,10,30,300,50,16,10,30,3.125,1,1,89.8716119828816
10000,10000,20,500,500,10,32,320,31,25,16,20,1.24,0,1,120.36376604850217
10000,10000,20,500,500,10,32,320,31,25,16,20,1.24,1,1,84.25463623395152
10000,10000,20,500,500,10,32,320,50,15,10,32,3.3333333333333335,0,1,120.36376604850217
10000,10000,20,500,500,10,32,320,50,15,10,32,3.3333333333333335,1,1,84.25463623395152
10000,10000,20,500,500,10,34,340,29,25,17,20,1.16,0,1,113.28354451623731
10000,10000,20,500,500,10,34,340,29,25,17,20,1.16,1,1,79.29848116136611
10000,10000,20,500,500,10,34,340,50,14,10,34,3.5714285714285716,0,1,113.28354451623731
10000,10000,20,500,500,10,34,340,50,14,10,34,3.5714285714285716,1,1,79.29848116136611
10000,10000,20,500,500,10,36,360,27,25,18,20,1.08,0,1,106.99001426533525
10000,10000,20,500,500,10,36,360,27,25,18,20,1.08,1,1,74.89300998573466
10000,10000,20,500,500,10,36,360,33,20,15,24,1.65,0,1,106.99001426533525
10000,10000,20,500,500,10,36,360,33,20,15,24,1.65,1,1,74.89300998573466
10000,10000,20,500,500,10,36,360,41,16,12,30,2.5625,0,1,106.99001426533525
10000,10000,20,500,500,10,36,360,41,16,12,30,2.5625,1,1,74.89300998573466
10000,10000,20,500,500,10,36,360,50,13,10,36,3.8461538461538463,0,1,106.99001426533525
10000,10000,20,500,500,10,36,360,50,13,10,36,3.8461538461538463,1,1,74.89300998573466
10000,10000,20,500,500,10,36,360,55,12,9,40,4.583333333333333,0,1,106.99001426533525
10000,10000,20,500,500,10,36,360,55,12,9,40,4.583333333333333,1,1,74.89300998573466
10000,10000,20,500,500,11,14,154,45,35,11,14,1.2857142857142858,0,1,250.10652685403048
10000,10000,20,500,500,11,14,154,45,35,11,14,1.2857142857142858,1,1,175.0745687978213
10000,10000,20,500,500,11,14,154,71,22,7,22,3.227272727272727,0,1,250.10652685403048
10000,10000,20,500,500,11,14,154,71,22,7,22,3.227272727272727,1,1,175.0745687978213
10000,10000,20,500,500,11,16,176,45,31,11,16,1.4516129032258065,0,1,218.84321099727666
10000,10000,20,500,500,11,16,176,45,31,11,16,1.4516129032258065,1,1,153.19024769809366
10000,10000,20,500,500,11,16,176,62,22,8,22,2.8181818181818183,0,1,218.84321099727666
10000,10000,20,500,500,11,16,176,62,22,8,22,2.8181818181818183,1,1,153.19024769809366
10000,10000,20,500,500,11,18,198,45,27,11,18,1.6666666666666667,0,1,194.5272986642459
10000,10000,20,500,500,11,18,198,45,27,11,18,1.6666666666666667,1,1,136.16910906497213
10000,10000,20,500,500,11,18,198,55,22,9,22,2.5,0,1,194.5272986642459
10000,10000,20,500,500,11,18,198,55,22,9,22,2.5,1,1,136.16910906497213
10000,10000,20,500,500,11,20,220,45,25,11,20,1.8,0,1,175.0745687978213
10000,10000,20,500,500,11,20,220,45,25,11,20,1.8,1,1,122.55219815847491
10000,10000,20,500,500,11,20,220,50,22,10,22,2.272727272727273,0,1,175.0745687978213
10000,10000,20,500,500,11,20,220,50,22,10,22,2.272727272727273,1,1,122.55219815847491
10000,10000,20,500,500,11,22,242,45,22,11,22,2.0454545454545454,0,1,159.1586989071103
10000,10000,20,500,500,11,22,242,45,22,11,22,2.0454545454545454,1,1,111.41108923497721
10000,10000,20,500,500,11,24,264,41,22,12,22,1.8636363636363635,0,1,145.89547399818446
10000,10000,20,500,500,11,24,264,41,22,12,22,1.8636363636363635,1,1,102.12683179872911
10000,10000,20,500,500,11,24,264,45,20,11,24,2.25,0,1,145.89547399818446
10000,10000,20,500,500,11,24,264,45,20,11,24,2.25,1,1,102.12683179872911
10000,10000,20,500,500,11,24,264,62,15,8,33,4.133333333333334,0,1,145.89547399818446
10000,10000,20,500,500,11,24,264,62,15,8,33,4.133333333333334,1,1,102.12683179872911
10000,10000,20,500,500,11,26,286,38,22,13,22,1.7272727272727273,0,1,134.67274522909332
10000,10000,20,500,500,11,26,286,38,22,13,22,1.7272727272727273,1,1,94.27092166036532
10000,10000,20,500,500,11,26,286,45,19,11,26,2.3684210526315788,0,1,134.67274522909332
10000,10000,20,500,500,11,26,286,45,19,11,26,2.3684210526315788,1,1,94.27092166036532
10000,10000,20,500,500,11,28,308,35,22,14,22,1.5909090909090908,0,1,125.05326342701524
10000,10000,20,500,500,11,28,308,35,22,14,22,1.5909090909090908,1,1,87.53728439891066
10000,10000,20,500,500,11,28,308,45,17,11,28,2.6470588235294117,0,1,125.05326342701524
10000,10000,20,500,500,11,28,308,45,17,11,28,2.6470588235294117,1,1,87.53728439891066
10000,10000,20,500,500,11,30,330,33,22,15,22,1.5,0,1,116.71637919854754
10000,10000,20,500,500,11,30,330,33,22,15,22,1.5,1,1,81.70146543898328
10000,10000,20,500,500,11,30,330,45,16,11,30,2.8125,0,1,116.71637919854754
10000,10000,20,500,500,11,30,330,45,16,11,30,2.8125,1,1,81.70146543898328
10000,10000,20,500,500,11,30,330,50,15,10,33,3.3333333333333335,0,1,116.71637919854754
10000,10000,20,500,500,11,30,330,50,15,10,33,3.3333333333333335,1,1,81.70146543898328
10000,10000,20,500,500,11,32,352,31,22,16,22,1.4090909090909092,0,1,109.42160549863833
10000,10000,20,500,500,11,32,352,31,22,16,22,1.4090909090909092,1,1,76.59512384904683
10000,10000,20,500,500,11,32,352,45,15,11,32,3.0,0,1,109.42160549863833
10000,10000,20,500,500,11,32,352,45,15,11,32,3.0,1,1,76.59512384904683
10000,10000,20,500,500,11,34,374,29,22,17,22,1.3181818181818181,0,1,102.98504046930665
10000,10000,20,500,500,11,34,374,29,22,17,22,1.3181818181818181,1,1,72.08952832851465
10000,10000,20,500,500,11,34,374,45,14,11,34,3.2142857142857144,0,1,102.98504046930665
10000,10000,20,500,500,11,34,374,45,14,11,34,3.2142857142857144,1,1,72.08952832851465
10000,10000,20,500,500,11,36,396,27,22,18,22,1.2272727272727273,0,1,97.26364933212295
10000,10000,20,500,500,11,36,396,27,22,18,22,1.2272727272727273,1,1,68.08455453248607
10000,10000,20,500,500,11,36,396,41,15,12,33,2.7333333333333334,0,1,97.26364933212295
10000,10000,20,500,500,11,36,396,41,15,12,33,2.7333333333333334,1,1,68.08455453248607
10000,10000,20,500,500,11,36,396,45,13,11,36,3.4615384615384617,0,1,97.26364933212295
10000,10000,20,500,500,11,36,396,45,13,11,36,3.4615384615384617,1,1,68.08455453248607
10000,10000,20,500,500,11,36,396,55,11,9,44,5.0,0,1,97.26364933212295
10000,10000,20,500,500,11,36,396,55,11,9,44,5.0,1,1,68.08455453248607
10000,10000,20,500,500,12,14,168,41,35,12,14,1.1714285714285715,0,1,229.26431628286127
10000,10000,20,500,500,12,14,168,41,35,12,14,1.1714285714285715,1,1,160.48502139800289
10000,10000,20,500,500,12,14,168,62,23,8,21,2.6956521739130435,0,1,229.26431628286127
10000,10000,20,500,500,12,14,168,62,23,8,21,2.6956521739130435,1,1,160.48502139800289
10000,10000,20,500,500,12,14,168,71,20,7,24,3.55,0,1,229.26431628286127
10000,10000,20,500,500,12,14,168,71,20,7,24,3.55,1,1,160.48502139800289
10000,10000,20,500,500,12,14,168,83,17,6,28,4.882352941176471,0,1,229.26431628286127
10000,10000,20,500,500,12,14,168,83,17,6,28,4.882352941176471,1,1,160.48502139800289
10000,10000,20,500,500,12,16,192,41,31,12,16,1.3225806451612903,0,1,200.6062767475036
10000,10000,20,500,500,12,16,192,41,31,12,16,1.3225806451612903,1,1,140.4243937232525
10000,10000,20,500,500,12,16,192,62,20,8,24,3.1,0,1,200.6062767475036
10000,10000,20,500,500,12,16,192,62,20,8,24,3.1,1,1,140.4243937232525
10000,10000,20,500,500,12,18,216,41,27,12,18,1.5185185185185186,0,1,178.31669044222542
10000,10000,20,500,500,12,18,216,41,27,12,18,1.5185185185185186,1,1,124.82168330955778
10000,10000,20,500,500,12,18,216,55,20,9,24,2.75,0,1,178.31669044222542
10000,10000,20,500,500,12,18,216,55,20,9,24,2.75,1,1,124.82168330955778
10000,10000,20,500,500,12,18,216,62,18,8,27,3.4444444444444446,0,1,178.31669044222542
10000,10000,20,500,500,12,18,216,62,18,8,27,3.4444444444444446,1,1,124.82168330955778
10000,10000,20,500,500,12,20,240,33,31,15,16,1.064516129032258,0,1,160.48502139800289
10000,10000,20,500,500,12,20,240,33,31,15,16,1.064516129032258,1,1,112.33951497860201
10000,10000,20,500,500,12,20,240,41,25,12,20,1.64,0,1,160.48502139800289
10000,10000,20,500,500,12,20,240,41,25,12,20,1.64,1,1,112.33951497860201
10000,10000,20,500,500,12,20,240,50,20,10,24,2.5,0,1,160.48502139800289
10000,10000,20,500,500,12,20,240,50,20,10,24,2.5,1,1,112.33951497860201
10000,10000,20,500,500,12,20,240,62,16,8,30,3.875,0,1,160.48502139800289
10000,10000,20,500,500,12,20,240,62,16,8,30,3.875,1,1,112.33951497860201
10000,10000,20,500,500,12,22,264,41,22,12,22,1.8636363636363635,0,1,145.89547399818446
10000,10000,20,500,500,12,22,264,41,22,12,22,1.8636363636363635,1,1,102.12683179872911
10000,10000,20,500,500,12,22,264,45,20,11,24,2.25,0,1,145.89547399818446
10000,10000,20,500,500,12,22,264,45,20,11,24,2.25,1,1,102.12683179872911
10000,10000,20,500,500,12,22,264,62,15,8,33,4.133333333333334,0,1,145.89547399818446
10000,10000,20,500,500,12,22,264,62,15,8,33,4.133333333333334,1,1,102.12683179872911
10000,10000,20,500,500,12,24,288,31,27,16,18,1.1481481481481481,0,1,133.73751783166907
10000,10000,20,500,500,12,24,288,31,27,16,18,1.1481481481481481,1,1,93.61626248216834
10000,10000,20,500,500,12,24,288,41,20,12,24,2.05,0,1,133.73751783166907
10000,10000,20,500,500,12,24,288,41,20,12,24,2.05,1,1,93.61626248216834
10000,10000,20,500,500,12,24,288,55,15,9,32,3.6666666666666665,0,1,133.73751783166907
10000,10000,20,500,500,12,24,288,55,15,9,32,3.6666666666666665,1,1,93.61626248216834
10000,10000,20,500,500,12,24,288,62,13,8,36,4.769230769230769,0,1,133.73751783166907
10000,10000,20,500,500,12,24,288,62,13,8,36,4.769230769230769,1,1,93.61626248216834
10000,10000,20,500,500,12,26,312,38,20,13,24,1.9,0,1,123.45001646000222
10000,10000,20,500,500,12,26,312,38,20,13,24,1.9,1,1,86.41501152200155
10000,10000,20,500,500,12,26,312,41,19,12,26,2.1578947368421053,0,1,123.45001646000222
10000,10000,20,500,500,12,26,312,41,19,12,26,2.1578947368421053,1,1,86.41501152200155
10000,10000,20,500,500,12,28,336,31,23,16,21,1.3478260869565217,0,1,114.63215814143064
10000,10000,20,500,500,12,28,336,31,23,16,21,1.3478260869565217,1,1,80.24251069900144
10000,10000,20,500,500,12,28,336,35,20,14,24,1.75,0,1,114.63215814143064
10000,10000,20,500,500,12,28,336,35,20,14,24,1.75,1,1,80.24251069900144
10000,10000,20,500,500,12,28,336,41,17,12,28,2.411764705882353,0,1,114.63215814143064
10000,10000,20,500,500,12,28,336,41,17,12,28,2.411764705882353,1,1,80.24251069900144
10000,10000,20,500,500,12,30,360,27,25,18,20,1.08,0,1,106.99001426533525
10000,10000,20,500,500,12,30,360,27,25,18,20,1.08,1,1,74.89300998573466
10000,10000,20,500,500,12,30,360,33,20,15,24,1.65,0,1,106.99001426533525
10000,10000,20,500,500,12,30,360,33,20,15,24,1.65,1,1,74.89300998573466
10000,10000,20,500,500,12,30,360,41,16,12,30,2.5625,0,1,106.99001426533525
10000,10000,20,500,500,12,30,360,41,16,12,30,2.5625,1,1,74.89300998573466
10000,10000,20,500,500,12,30,360,50,13,10,36,3.8461538461538463,0,1,106.99001426533525
10000,10000,20,500,500,12,30,360,50,13,10,36,3.8461538461538463,1,1,74.89300998573466
10000,10000,20,500,500,12,30,360,55,12,9,40,4.583333333333333,0,1,106.99001426533525
10000,10000,20,500,500,12,30,360,55,12,9,40,4.583333333333333,1,1,74.89300998573466
10000,10000,20,500,500,12,32,384,31,20,16,24,1.55,0,1,100.3031383737518
10000,10000,20,500,500,12,32,384,31,20,16,24,1.55,1,1,70.21219686162625
10000,10000,20,500,500,12,32,384,41,15,12,32,2.7333333333333334,0,1,100.3031383737518
10000,10000,20,500,500,12,32,384,41,15,12,32,2.7333333333333334,1,1,70.21219686162625
10000,10000,20,500,500,12,34,408,29,20,17,24,1.45,0,1,94.4029537635311
10000,10000,20,500,500,12,34,408,29,20,17,24,1.45,1,1,66.08206763447177
10000,10000,20,500,500,12,34,408,41,14,12,34,2.9285714285714284,0,1,94.4029537635311
