x_length,y_length,grid_step,ni,nj,n_nodes,n_cores,n_procs,dx,dy,nx,ny,subdomain_ratio,single_precision,physics_on,estimated_duration,jobdir,time0,time1,time2
10000,10000,20,500,500,10,14,140,50,35,10,14,1.4285714285714286,0,1,275.1171795394335,10000_10000_020_10_14_0_1_010_014,2.45,154.97,145.0
10000,10000,20,500,500,10,14,140,50,35,10,14,1.4285714285714286,1,1,192.58202567760347,10000_10000_020_10_14_1_1_010_014,1.56,85.32,81.3
10000,10000,20,500,500,10,14,140,71,25,7,20,2.84,0,1,275.1171795394335,10000_10000_020_10_14_0_1_007_020,1.68,149.49,144.61
10000,10000,20,500,500,10,14,140,71,25,7,20,2.84,1,1,192.58202567760347,10000_10000_020_10_14_1_1_007_020,1.65,83.22,80.19
10000,10000,20,500,500,10,16,160,50,31,10,16,1.6129032258064515,0,1,240.72753209700434,10000_10000_020_10_16_0_1_010_016,2.74,136.3,127.73
10000,10000,20,500,500,10,16,160,50,31,10,16,1.6129032258064515,1,1,168.50927246790303,10000_10000_020_10_16_1_1_010_016,1.69,77.84,75.12
10000,10000,20,500,500,10,16,160,62,25,8,20,2.48,0,1,240.72753209700434,10000_10000_020_10_16_0_1_008_020,4.02,131.95,120.56
10000,10000,20,500,500,10,16,160,62,25,8,20,2.48,1,1,168.50927246790303,10000_10000_020_10_16_1_1_008_020,2.13,74.38,70.18
10000,10000,20,500,500,10,18,180,41,33,12,15,1.2424242424242424,0,1,213.98002853067047,10000_10000_020_10_18_0_1_012_015,3.49,120.98,110.35
10000,10000,20,500,500,10,18,180,41,33,12,15,1.2424242424242424,1,1,149.7860199714693,10000_10000_020_10_18_1_1_012_015,1.71,86.35,83.34
10000,10000,20,500,500,10,18,180,50,27,10,18,1.8518518518518519,0,1,213.98002853067047,10000_10000_020_10_18_0_1_010_018,2.53,117.37,108.48
10000,10000,20,500,500,10,18,180,50,27,10,18,1.8518518518518519,1,1,149.7860199714693,10000_10000_020_10_18_1_1_010_018,4.11,70.5,63.78
10000,10000,20,500,500,10,18,180,55,25,9,20,2.2,0,1,213.98002853067047,10000_10000_020_10_18_0_1_009_020,2.81,121.34,108.8
10000,10000,20,500,500,10,18,180,55,25,9,20,2.2,1,1,149.7860199714693,10000_10000_020_10_18_1_1_009_020,1.69,67.11,63.54
10000,10000,20,500,500,10,20,200,50,25,10,20,2.0,0,1,192.58202567760347,10000_10000_020_10_20_0_1_010_020,3.23,107.83,102.63
10000,10000,20,500,500,10,20,200,50,25,10,20,2.0,1,1,134.80741797432242,10000_10000_020_10_20_1_1_010_020,3.87,65.63,59.4
10000,10000,20,500,500,10,20,200,62,20,8,25,3.1,0,1,192.58202567760347,10000_10000_020_10_20_0_1_008_025,12.96,123.92,102.91
